Comparing channel(s) YUV

           Mean               Max    Max             
         Absolute     Mean    Pos.   Neg.            
 Frame     Dev.       Dev.    Dev.   Dev.  PSNR (dB) 
   132    0.0000    +0.0000    0      0     96.9160
   133    0.0000    +0.0000    0      0     96.9160
   134    6.0352    -5.7682  178    -220     17.8210
   135    6.0354    -5.7685  178    -220     17.8209
   136    6.0354    -5.7685  178    -220     17.8209
   137    6.0354    -5.7687  178    -220     17.8209
   138    6.0352    -5.7685  178    -220     17.8209
   139    6.0353    -5.7681  179    -219     17.8209
   140    6.0353    -5.7682  179    -219     17.8209
   141    6.0353    -5.7687  179    -219     17.8211
   142    6.0349    -5.7684  178    -219     17.8214
   143    6.0348    -5.7688  178    -219     17.8215
   144    6.0342    -5.7697  177    -220     17.8224
   145    6.0152    -5.8092  122    -219     17.8461
   146    6.0361    -5.7649  187    -220     17.8180
   147    6.0056    -5.8322   83    -220     17.8512
   148    6.0028    -5.8371   72    -220     17.8521
   149    6.0052    -5.8351   83    -219     17.8512
   150    6.0151    -5.8162  124    -220     17.8472
   151    6.0236    -5.7971  173    -220     17.8375
   152    6.0418    -5.7567  198    -220     17.8098
   153    6.0360    -5.7708  187    -219     17.8207
   154    6.0375    -5.7718  187    -220     17.8193
   155    6.0400    -5.7681  189    -220     17.8156
   156    6.0400    -5.7671  190    -220     17.8150
   157    6.0402    -5.7673  190    -220     17.8149
   158    6.0404    -5.7664  190    -220     17.8148
   159    6.0407    -5.7676  189    -219     17.8147
   160    6.0403    -5.7672  190    -219     17.8147
   161    6.0404    -5.7673  190    -219     17.8147
   162    6.0403    -5.7672  190    -219     17.8147
   163    6.0407    -5.7675  189    -219     17.8146
   164    6.0405    -5.7672  190    -219     17.8145
   165    6.0405    -5.7678  188    -219     17.8150
   166    6.0404    -5.7681  189    -219     17.8153
   167    0.0000    +0.0000    0      0     96.9160
   168    0.0000    +0.0000    0      0     96.9160
   169    0.0000    +0.0000    0      0     96.9160
   170    0.0000    +0.0000    0      0     96.9160
   171    0.0000    +0.0000    0      0     96.9160
   172    0.0000    +0.0000    0      0     96.9160
   173    0.0000    +0.0000    0      0     96.9160
   174    0.0000    +0.0000    0      0     96.9160
   175    0.0000    +0.0000    0      0     96.9160
   176    0.0000    +0.0000    0      0     96.9160
   177   16.0649   -15.8056   41    -220     13.5274
   178   16.0652   -15.8061   41    -220     13.5274
   179   16.0649   -15.8044   43    -220     13.5274
   180   16.0653   -15.8047   43    -220     13.5274
   181   16.0649   -15.8044   43    -220     13.5274
   182   16.0649   -15.8041   43    -220     13.5275
   183   16.0652   -15.8044   43    -220     13.5274
   184   16.0648   -15.8040   43    -220     13.5275
   185   16.0649   -15.8044   43    -220     13.5274
   186   16.0649   -15.8043   43    -220     13.5274
   187   16.0652   -15.8049   43    -220     13.5274
   188   16.0651   -15.8048   43    -220     13.5274
   189   16.0650   -15.8047   45    -219     13.5274
   190   16.0649   -15.8046   45    -219     13.5274
   191   16.0636   -15.8053   43    -220     13.5274
   192   16.0637   -15.8053   43    -220     13.5274
   193   16.0651   -15.8045   44    -219     13.5275
   194   16.0651   -15.8044   44    -219     13.5275
   195   16.0651   -15.8044   44    -219     13.5275
   196   16.0642   -15.8042   43    -219     13.5275
   197   16.0642   -15.8042   43    -219     13.5275
   198   16.0642   -15.8042   43    -219     13.5275
   199   16.0656   -15.8042   46    -219     13.5274
   200   16.0656   -15.8042   46    -219     13.5274
   201   16.0656   -15.8042   46    -219     13.5274
   202   16.0657   -15.8041   46    -219     13.5274
   203   16.0656   -15.8042   46    -219     13.5274
   204   16.0657   -15.8041   46    -219     13.5274
   205   16.0655   -15.8041   46    -219     13.5274
   206   16.0654   -15.8040   46    -219     13.5274
   207   16.0654   -15.8040   46    -219     13.5274
   208   16.0654   -15.8040   46    -219     13.5274
   209   16.0654   -15.8042   46    -219     13.5274
   210   16.0654   -15.8042   46    -219     13.5274
   211   16.0654   -15.8043   46    -219     13.5274
   212   16.0654   -15.8043   46    -219     13.5274
   213   16.0654   -15.8042   46    -219     13.5274
   214   16.0655   -15.8042   46    -219     13.5274
   215   16.0655   -15.8042   46    -219     13.5274
   216   16.0655   -15.8042   46    -219     13.5274
   217   16.0653   -15.8043   46    -219     13.5274
   218   16.0654   -15.8042   46    -219     13.5274
   219   16.0654   -15.8042   46    -219     13.5274
   220   16.0643   -15.8058   44    -220     13.5275
   221   16.0629   -15.8097   14    -220     13.5275
   222   16.0643   -15.8094   17    -220     13.5275
   223   16.0634   -15.8093   18    -220     13.5275
   224   16.0632   -15.8088   19    -220     13.5274
   225   16.0646   -15.8059   43    -220     13.5275
